Stat,Value,Player
PPG,21.915068493150685,Grant Hill
RPG,8.142465753424657,Grant Hill
APG,6.484931506849315,Grant Hill
SPG,1.5616438356164384,Grant Hill
BPG,0.6,Grant Hill
FG%,47.5515251442704,Grant Hill
FT%,74.90546579580611,Grant Hill
3P%,27.083333333333332,Grant Hill
PPG,21.11467889908257,Penny Hardaway
RPG,4.371559633027523,Penny Hardaway
APG,6.720183486238532,Penny Hardaway
SPG,1.7844036697247707,Penny Hardaway
BPG,0.46788990825688076,Penny Hardaway
FG%,49.39357186173439,Penny Hardaway
FT%,78.09798270893373,Penny Hardaway
3P%,32.66583229036296,Penny Hardaway
